Transactions,item1,item2,item3,item4,item5,item6,item7
927,olives,bourbon,Coke,turkey,ice cream,crackers,baguette
928,baguette,sardines,apples,peppers,avocado,bourbon,olives
929,sardines,Heineken,chicken,Coke,ice cream,artichoke,turkey
930,herring,corned beef,olives,ham,turkey,soda,soda
931,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,olives
932,corned beef,peppers,bourbon,crackers,chicken,herring,steak
933,sardines,Heineken,chicken,Coke,ice cream,corned beef,steak
934,herring,corned beef,olives,ham,turkey,chicken,bourbon
935,herring,corned beef,apples,olives,steak,turkey,ice cream
936,baguette,herring,avocado,artichoke,Heineken,turkey,turkey
937,baguette,sardines,apples,peppers,avocado,ice cream,olives
938,soda,olives,bourbon,crackers,Heineken,baguette,peppers
939,baguette,herring,avocado,artichoke,Heineken,bourbon,steak
940,baguette,sardines,apples,peppers,avocado,bourbon,bourbon
941,baguette,soda,herring,crackers,Heineken,steak,corned beef
942,avocado,crackers,artichoke,Heineken,ham,turkey,chicken
943,baguette,sardines,apples,peppers,avocado,bourbon,chicken
944,sardines,Heineken,chicken,Coke,ice cream,avocado,crackers
945,baguette,sardines,apples,peppers,avocado,Coke,crackers
946,soda,olives,bourbon,crackers,Heineken,turkey,artichoke
947,baguette,soda,herring,crackers,Heineken,steak,olives
948,sardines,Heineken,chicken,Coke,ice cream,Bordeaux,crackers
949,olives,bourbon,Coke,turkey,ice cream,ham,artichoke
950,baguette,soda,herring,crackers,Heineken,Coke,avocado
951,baguette,soda,herring,crackers,Heineken,steak,sardines
952,baguette,soda,herring,crackers,Heineken,chicken,corned beef
953,baguette,soda,herring,crackers,Heineken,sardines,artichoke
954,herring,corned beef,olives,ham,turkey,bourbon,soda
955,soda,olives,bourbon,crackers,Heineken,corned beef,herring
956,corned beef,peppers,bourbon,crackers,chicken,soda,olives
957,sardines,Heineken,chicken,Coke,ice cream,olives,crackers
958,corned beef,peppers,bourbon,crackers,chicken,Heineken,apples
959,herring,corned beef,olives,ham,turkey,soda,bourbon
960,soda,olives,bourbon,crackers,Heineken,Coke,ice cream
961,soda,olives,bourbon,crackers,Heineken,sardines,peppers
962,baguette,sardines,apples,peppers,avocado,ice cream,Coke
963,corned beef,peppers,bourbon,crackers,chicken,artichoke,artichoke
964,herring,corned beef,olives,ham,turkey,Heineken,artichoke
965,corned beef,peppers,bourbon,crackers,chicken,Heineken,turkey
966,baguette,soda,herring,crackers,Heineken,turkey,bourbon
967,baguette,herring,avocado,artichoke,Heineken,apples,corned beef
968,herring,corned beef,olives,ham,turkey,peppers,sardines
969,sardines,Heineken,chicken,Coke,ice cream,ham,baguette
970,herring,corned beef,olives,ham,turkey,artichoke,baguette
971,corned beef,peppers,bourbon,crackers,chicken,Coke,apples
972,baguette,soda,herring,crackers,Heineken,ice cream,Coke
973,baguette,sardines,apples,peppers,avocado,bourbon,ice cream
974,baguette,soda,herring,crackers,Heineken,ham,bourbon
975,avocado,crackers,artichoke,Heineken,ham,steak,herring
976,olives,bourbon,Coke,turkey,ice cream,corned beef,crackers
977,avocado,crackers,artichoke,Heineken,ham,apples,herring
978,herring,corned beef,apples,olives,steak,chicken,avocado
979,baguette,herring,avocado,artichoke,Heineken,bourbon,bourbon
980,baguette,soda,herring,crackers,Heineken,steak,artichoke
981,olives,bourbon,Coke,turkey,ice cream,artichoke,ham
982,baguette,soda,herring,crackers,Heineken,bourbon,peppers
983,sardines,Heineken,chicken,Coke,ice cream,ham,soda
984,olives,bourbon,Coke,turkey,ice cream,apples,sardines
985,soda,olives,bourbon,crackers,Heineken,Coke,ham
986,soda,olives,bourbon,crackers,Heineken,Coke,baguette
987,baguette,soda,herring,crackers,Heineken,chicken,peppers
988,soda,olives,bourbon,crackers,Heineken,corned beef,chicken
989,herring,corned beef,apples,olives,steak,turkey,ice cream
990,sardines,Heineken,chicken,Coke,ice cream,herring,olives
991,olives,bourbon,Coke,turkey,ice cream,apples,soda
992,avocado,crackers,artichoke,Heineken,ham,chicken,chicken
993,herring,corned beef,apples,olives,steak,crackers,artichoke
994,baguette,herring,avocado,artichoke,Heineken,chicken,apples
995,baguette,soda,herring,crackers,Heineken,ice cream,steak
996,avocado,crackers,artichoke,Heineken,ham,chicken,bourbon
997,herring,corned beef,olives,ham,turkey,baguette,apples
998,baguette,soda,herring,crackers,Heineken,sardines,sardines
999,sardines,Heineken,chicken,Coke,ice cream,corned beef,peppers
1000,herring,corned beef,apples,olives,steak,bourbon,Heineken
